QID215_TEXT,QID213,QID214_TEXT,mTurkCode,recordedDate
Q59 - L1,Q55 - Gender,Q57 - Age,mTurkCode,Recorded Date
english,Female,eng,8169254,2016-11-26 15:46:50
eng,Male,eng,2351108,2016-11-26 16:28:31
eng,Female,25,6470010,2016-11-26 17:04:42
eng,Male,29,3260278,2016-11-26 17:17:03
