"Lang","List","ID","Size","Orientation","Match","RT","ACC"
"C","C_List02.csv","31","L","H","N",538,87.5
"C","C_List02.csv","31","L","H","Y",597.5,100
"C","C_List02.csv","31","L","V","N",557.5,100
"C","C_List02.csv","31","L","V","Y",677,100
"C","C_List02.csv","31","S","H","N",643.5,100
"C","C_List02.csv","31","S","H","Y",546.5,75
"C","C_List02.csv","31","S","V","N",522,100
"C","C_List02.csv","31","S","V","Y",577,87.5
"C","C_List02.csv","32","L","H","N",901,87.5
"C","C_List02.csv","32","L","H","Y",545,87.5
"C","C_List02.csv","32","L","V","N",659,100
"C","C_List02.csv","32","L","V","Y",674,87.5
"C","C_List02.csv","32","S","H","N",674,100
"C","C_List02.csv","32","S","H","Y",611,87.5
"C","C_List02.csv","32","S","V","N",600,100
"C","C_List02.csv","32","S","V","Y",725,87.5
"C","C_List02.csv","37","L","H","N",1196,87.5
"C","C_List02.csv","37","L","H","Y",871,87.5
"C","C_List02.csv","37","L","V","N",889,100
"C","C_List02.csv","37","L","V","Y",1255.5,100
"C","C_List02.csv","37","S","H","N",756.5,100
"C","C_List02.csv","37","S","H","Y",656,87.5
"C","C_List02.csv","37","S","V","N",692,62.5
"C","C_List02.csv","37","S","V","Y",802,100
"C","C_List02.csv","42","L","H","N",731,100
"C","C_List02.csv","42","L","H","Y",635,62.5
"C","C_List02.csv","42","L","V","N",594,100
"C","C_List02.csv","42","L","V","Y",545.5,100
"C","C_List02.csv","42","S","H","N",608.5,100
"C","C_List02.csv","42","S","H","Y",560.5,75
"C","C_List02.csv","42","S","V","N",526,100
"C","C_List02.csv","42","S","V","Y",582,87.5
"C","C_List02.csv","47","L","H","N",749,87.5
"C","C_List02.csv","47","L","H","Y",744,100
"C","C_List02.csv","47","L","V","N",635.5,100
"C","C_List02.csv","47","L","V","Y",838,100
"C","C_List02.csv","47","S","H","N",674,100
"C","C_List02.csv","47","S","H","Y",542,87.5
"C","C_List02.csv","47","S","V","N",644,87.5
"C","C_List02.csv","47","S","V","Y",731,100
"C","C_List02.csv","48","L","H","N",754.5,100
"C","C_List02.csv","48","L","H","Y",725.5,100
"C","C_List02.csv","48","L","V","N",831.5,100
"C","C_List02.csv","48","L","V","Y",747,100
"C","C_List02.csv","48","S","H","N",713.5,100
"C","C_List02.csv","48","S","H","Y",683,100
"C","C_List02.csv","48","S","V","N",650.5,100
"C","C_List02.csv","48","S","V","Y",861,100
"C","C_List02.csv","7","L","H","N",659,100
"C","C_List02.csv","7","L","H","Y",735.5,100
"C","C_List02.csv","7","L","V","N",652,87.5
"C","C_List02.csv","7","L","V","Y",632,87.5
"C","C_List02.csv","7","S","H","N",637.5,100
"C","C_List02.csv","7","S","H","Y",734,87.5
"C","C_List02.csv","7","S","V","N",596,87.5
"C","C_List02.csv","7","S","V","Y",750,100
"C","C_List02.csv","8","L","H","N",560.5,100
"C","C_List02.csv","8","L","H","Y",513.5,100
"C","C_List02.csv","8","L","V","N",566,87.5
"C","C_List02.csv","8","L","V","Y",588.5,100
"C","C_List02.csv","8","S","H","N",491,100
"C","C_List02.csv","8","S","H","Y",511,100
"C","C_List02.csv","8","S","V","N",510.5,100
"C","C_List02.csv","8","S","V","Y",617,100
"C","C_List03.csv","14","L","H","N",565,87.5
"C","C_List03.csv","14","L","H","Y",717,100
"C","C_List03.csv","14","L","V","N",719.5,75
"C","C_List03.csv","14","L","V","Y",790,87.5
"C","C_List03.csv","14","S","H","N",583,75
"C","C_List03.csv","14","S","H","Y",659.5,100
"C","C_List03.csv","14","S","V","N",587.5,100
"C","C_List03.csv","14","S","V","Y",671,100
"C","C_List03.csv","17","L","H","N",741,62.5
"C","C_List03.csv","17","L","H","Y",693.5,100
"C","C_List03.csv","17","L","V","N",794.5,100
"C","C_List03.csv","17","L","V","Y",834,100
"C","C_List03.csv","17","S","H","N",762.5,100
"C","C_List03.csv","17","S","H","Y",629,87.5
"C","C_List03.csv","17","S","V","N",732,100
"C","C_List03.csv","17","S","V","Y",700.5,100
"C","C_List03.csv","22","L","H","N",956,75
"C","C_List03.csv","22","L","H","Y",954,100
"C","C_List03.csv","22","L","V","N",890,75
"C","C_List03.csv","22","L","V","Y",886.5,75
