"Lang","List","ID","LN_RT","LY_RT","SN_RT","SY_RT","LN_ACC","LY_ACC","SN_ACC","SY_ACC"
"C","C_List03.csv","33",690,812,632,560,87.5,100,81.25,100
"C","C_List04.csv","34",592,608,537,629,100,100,68.75,81.25
"E","SP_List2","3422009",562.50244140625,697.0048828125,598.49755859375,591,87.5,81.25,87.5,87.5
"E","SP_List4","3430523",594,567.5,511,541,100,100,100,100
"E","SP_List1","3477624",670.417358398438,663.470092773438,553.645141601562,588.342529296875,100,100,100,100
"C","C_List01.csv","35",821.5,755,695,765,100,75,81.25,100
"E","SP_List1","3540214",793.237426757812,866.824951171875,781.360107421875,716.174926757812,87.5,93.75,81.25,87.5
"E","SP_List2","3582108",745.695068359375,693.48486328125,592.054931640625,577.900146484375,100,87.5,81.25,81.25
"C","C_List01.csv","36",737,586.5,532,508,100,100,100,93.75
"E","SP_List1","362184",748.735107421875,743.675048828125,779.474975585938,690.217407226562,93.75,93.75,87.5,87.5
"C","C_List02.csv","37",908,932,692,736,93.75,93.75,81.25,93.75
"E","SP_List1","3702814",762,545.5,595,646.0048828125,93.75,87.5,93.75,93.75
"E","SP_List2","371008",604,605.0048828125,642,595,81.25,93.75,100,100
"E","SP_List4","3723208",568,563.50244140625,520,520.5,87.5,100,93.75,100
"C","C_List03.csv","38",729,588,596.5,745,93.75,93.75,87.5,93.75
"C","C_List04.csv","39",809,797.5,750,688,87.5,87.5,93.75,93.75
"E","SP_List2","3927406",878.9951171875,708,724,729,93.75,93.75,93.75,100
"C","C_List03.csv","4",719,764.5,563,545,87.5,100,93.75,93.75
"D","D_List01.csv","4",600.5,699,564.5,472,100,100,100,93.75
"C","C_List04.csv","40",765,742,657,691.5,87.5,93.75,93.75,87.5
"C","C_List01.csv","41",704,636,611,633,100,100,93.75,93.75
"E","SP_List1","4115814",885.974853515625,774.985107421875,788.81494140625,725.802490234375,93.75,100,93.75,100
"E","SP_List2","4183262",734.737548828125,729.39990234375,735.597534179688,749.6474609375,87.5,93.75,75,100
"E","SP_List4","4195548",685,601.5,566,733,100,100,93.75,93.75
"C","C_List02.csv","42",716.5,577,597,582,100,81.25,100,81.25
"E","SP_List3","4293320",639.235107421875,631.7900390625,461.824951171875,493.14501953125,81.25,93.75,81.25,93.75
"E","SP_List3","4295409",898.175048828125,971.447387695312,860.6201171875,692.9599609375,100,87.5,100,100
"C","C_List03.csv","43",904,866.5,753,782,93.75,75,93.75,93.75
"E","SP_List1","4370003",725.5,788,593,616.5,100,100,93.75,100
"C","C_List03.csv","44",744,616,536.5,590,100,100,100,100
"E","SP_List2","444041",1053.625,904.037475585938,939.302490234375,1021.39501953125,81.25,87.5,100,93.75
"E","SP_List1","4467541",417,306.669921875,306.655029296875,275.830078125,81.25,93.75,93.75,93.75
"E","SP_List1","4477833",720.5400390625,805.170166015625,750.447509765625,905.06494140625,81.25,81.25,100,81.25
"C","C_List04.csv","45",712,618,614,506,81.25,93.75,81.25,75
"E","SP_List3","4554146",729.0048828125,640,578,558,93.75,93.75,81.25,100
"E","SP_List1","4598073",627.954956054688,604.542602539062,529.815063476562,527.155029296875,100,100,100,93.75
"C","C_List01.csv","46",809.5,639.5,811,612,100,87.5,93.75,81.25
"E","SP_List4","4627165",829.477416992188,774.114990234375,833.155029296875,688.2001953125,87.5,93.75,100,93.75
"E","SP_List1","4636165",694.5,743,654.50244140625,684.50244140625,100,93.75,87.5,100
"E","SP_List1","4641157",701.222534179688,642.450073242188,590.07763671875,632.994995117188,87.5,100,100,100
"C","C_List02.csv","47",709,784.5,658,601,93.75,100,93.75,93.75
"C","C_List02.csv","48",790.5,738,682,772.5,100,100,100,100
"E","SP_List3","4850431",1004.5,1037.0048828125,927,899.00244140625,87.5,93.75,100,100
"C","C_List03.csv","49",619,711,595.5,642,87.5,93.75,87.5,100
"E","SP_List2","4904002",646.692504882812,630.192504882812,642.997436523438,558.002563476562,87.5,100,100,100
"E","SP_List3","4950273",795.539916992188,760.0849609375,657.8525390625,683.5849609375,100,81.25,100,93.75
"C","C_List04.csv","5",475.5,551.5,500,496.5,100,100,93.75,100
"D","D_List02.csv","5",871.5,934,853,869.5,100,100,87.5,100
"C","C_List04.csv","50",706.5,584.5,579,682,100,100,93.75,93.75
"E","SP_List3","5076223",656.375,649.91259765625,573.0751953125,572.072509765625,93.75,87.5,93.75,100
"C","C_List01.csv","51",636,598,557,724,93.75,93.75,100,87.5
"C","C_List01.csv","52",565.5,631.5,537,582,100,87.5,100,93.75
