"Lang","List","ID","LHN_RT","LHY_RT","LVN_RT","LVY_RT","SHN_RT","SHY_RT","SVN_RT","SVY_RT","LHN_ACC","LHY_ACC","LVN_ACC","LVY_ACC","SHN_ACC","SHY_ACC","SVN_ACC","SVY_ACC"
"C","C_List03.csv","22",956,954,890,886.5,786,797,782,889,75,100,75,75,50,87.5,87.5,87.5
"E","SP_List4","2204568",722.225341796875,988.400390625,928.99169921875,753.75048828125,658.03466796875,812.872436523438,793.174072265625,809.869018554688,87.5,62.5,100,75,87.5,100,87.5,75
"C","C_List04.csv","23",885.5,803,736,660,689,679,597,671,100,100,87.5,62.5,75,87.5,100,100
"C","C_List04.csv","24",513.5,593,673,723,712,630,588.5,514,100,87.5,87.5,100,87.5,87.5,100,87.5
"E","SP_List4","2459702",595.517578125,641.52978515625,556.677612304688,580.132446289062,507.729858398438,603.989990234375,600.525146484375,522.069946289062,100,87.5,100,100,100,87.5,100,100
"C","C_List01.csv","25",675,677,633.5,594,589,728,531.5,530.5,87.5,100,75,100,75,100,100,100
"E","SP_List2","2591558",853.5,923,957,894,829.5,793,821.50244140625,848,100,87.5,87.5,100,100,87.5,100,87.5
"C","C_List02.csv","26",615,685.5,716,728,558,733,479.5,566.5,100,75,100,100,100,87.5,75,100
"E","SP_List1","2614478",856.574951171875,751.85498046875,807.612426757812,823.917602539062,732.429931640625,803.530029296875,732.449951171875,744.484985351562,87.5,87.5,100,100,100,100,100,100
"E","SP_List2","2638089",703.0400390625,550.494873046875,767.81494140625,519.940063476562,474.477416992188,529.164794921875,459.50244140625,490.030029296875,87.5,100,100,75,100,87.5,100,87.5
"E","SP_List2","2641664",1015.82495117188,727.074462890625,986.054931640625,715.410522460938,657.370483398438,662.706298828125,778.806396484375,718.863403320312,75,100,87.5,100,75,100,87.5,100
"C","C_List03.csv","27",558.5,519,613,617,493.5,544,628,611,100,87.5,87.5,100,75,100,87.5,100
"E","SP_List2","2716281",610.380004882812,690.47998046875,667.565185546875,626.66748046875,555.329833984375,516.737426757812,547.965087890625,540.527587890625,100,100,87.5,100,87.5,100,100,100
"E","SP_List4","274348",625,545.9951171875,594.50244140625,657,498.00244140625,639,594,481.5,87.5,87.5,100,87.5,100,87.5,87.5,75
"C","C_List03.csv","28",548,595,649,570,533.5,470,483,446,87.5,87.5,87.5,100,100,87.5,87.5,87.5
"E","SP_List3","2805193",674,579.0048828125,649,605,543.5,524.5048828125,479,608,100,87.5,87.5,87.5,100,100,100,87.5
"E","SP_List3","2891007",613.157470703125,682.742553710938,732.497436523438,570.092529296875,503.432495117188,557.934814453125,551.092529296875,506.405029296875,100,100,100,100,100,87.5,100,100
"C","C_List04.csv","29",771,819.5,577,761.5,524,766,530,750.5,87.5,100,100,100,87.5,87.5,87.5,100
"E","SP_List3","2942246",654.487548828125,677.8125,655.932495117188,730.804931640625,525.54248046875,658.119995117188,571.847412109375,728.469970703125,100,100,100,87.5,100,100,100,100
"C","C_List03.csv","3",805,655.5,812.5,879,739,752,711,709.5,87.5,100,100,100,75,100,87.5,100
"D","D_List01.csv","3",585,579,620,587,625,550.5,569.5,540,87.5,87.5,100,75,100,75,100,87.5
"C","C_List01.csv","30",624,633.5,770,517,824,670,616,567,100,75,87.5,75,62.5,87.5,87.5,87.5
"E","SP_List1","3051308",883.347534179688,544.519897460938,604.530029296875,828.970092773438,702.339965820312,632.474975585938,939.610107421875,649.242431640625,100,100,100,100,100,100,100,100
"E","SP_List1","3066829",582.282470703125,604.5673828125,696.130004882812,579.324951171875,576.942504882812,609.695068359375,561.300048828125,519.987426757812,100,100,75,100,100,87.5,100,100
"E","SP_List2","3081825",756.49755859375,631.5,687,725.5,718,593,702.5,654.99755859375,100,75,87.5,75,100,87.5,100,100
"E","SP_List2","3086911",818.9951171875,810,721.5,859.5,824,687.00244140625,626.0048828125,692,87.5,100,100,100,100,100,87.5,100
"C","C_List02.csv","31",538,597.5,557.5,677,643.5,546.5,522,577,87.5,100,100,100,100,75,100,87.5
"C","C_List02.csv","32",901,545,659,674,674,611,600,725,87.5,87.5,100,87.5,100,87.5,100,87.5
"C","C_List03.csv","33",563,794.5,703,848.5,639,551,605,717,87.5,100,87.5,100,62.5,100,100,100
"C","C_List04.csv","34",606.5,561.5,567,627.5,630,503,533,649,100,100,100,100,75,75,62.5,87.5
"E","SP_List2","3422009",562.50244140625,683,561.50244140625,700.50244140625,603.9951171875,569,571,666,75,87.5,100,75,87.5,87.5,87.5,87.5
"E","SP_List4","3430523",551.5,573,603.5,567.5,527.5,530.5,503.5,615,100,100,100,100,100,100,100,100
"E","SP_List1","3477624",652.954956054688,613.750122070312,693.009887695312,723.757446289062,572.130004882812,649.472534179688,543.33251953125,580.950073242188,100,100,100,100,100,100,100,100
"C","C_List01.csv","35",944,833.5,821.5,677.5,893,805.5,695,725,100,75,100,75,75,100,87.5,100
"E","SP_List1","3540214",791.414916992188,906.277465820312,862.947509765625,848.81494140625,785.64990234375,677.922485351562,777.31494140625,835.065063476562,100,100,75,87.5,62.5,100,100,75
"E","SP_List2","3582108",638.25244140625,756.155029296875,756.087646484375,635.155029296875,592.66748046875,576.969970703125,486.39990234375,631.022583007812,100,87.5,100,87.5,100,87.5,62.5,75
"C","C_List01.csv","36",623,645,781,522,613,490,503,509,100,100,100,100,100,87.5,100,100
