"Lang","List","ID","LHN_RT","LHY_RT","LVN_RT","LVY_RT","SHN_RT","SHY_RT","SVN_RT","SVY_RT","LHN_ACC","LHY_ACC","LVN_ACC","LVY_ACC","SHN_ACC","SHY_ACC","SVN_ACC","SVY_ACC"
"E","SP_List1","8308999",679.0224609375,589.462646484375,770.815063476562,693.842529296875,712.49755859375,601.737426757812,601.22998046875,594.344970703125,100,100,100,100,100,100,87.5,100
"E","SP_List4","8365526",512.764892578125,609.934936523438,612.802368164062,644.669921875,684.789794921875,589.907470703125,523.320068359375,475.107543945312,100,100,100,100,87.5,100,100,100
"E","SP_List2","8413180",659.00244140625,758,758,576.5,577.5,588.99755859375,602,637.00244140625,100,87.5,100,100,100,100,87.5,100
"E","SP_List2","8565024",668,689.5,708,642,676,526.99755859375,711.0048828125,537,87.5,100,87.5,87.5,100,100,87.5,100
"E","SP_List3","8921175",731.9599609375,855.302612304688,906.08740234375,651.884887695312,716.4775390625,723.450073242188,715.142578125,635.7900390625,75,100,75,100,75,75,75,62.5
"C","C_List03.csv","9",609,560,616.5,787,622.5,581.5,574,593.5,100,87.5,100,100,100,100,100,100
"D","D_List01.csv","9",735,618.5,660,742,620.5,646.5,826,587,100,100,100,87.5,100,100,100,87.5
"E","SP_List4","9097430",566.097534179688,601.920043945312,620.970092773438,740.009887695312,589.844970703125,577.699951171875,547.5498046875,574.192504882812,100,100,100,100,87.5,87.5,87.5,100
"E","SP_List2","9132668",618.095092773438,642.5751953125,680.43994140625,651.572387695312,613.967529296875,566.522583007812,525.125,556.705078125,100,87.5,87.5,100,75,100,100,100
"E","SP_List3","9191049",684.857543945312,768.654907226562,533.764892578125,568.737548828125,524.187622070312,654.760131835938,593.697509765625,667.820068359375,100,100,87.5,100,100,100,100,100
"E","SP_List3","9200724",559.152465820312,489.107543945312,621.35498046875,484.60498046875,464.732421875,421.557495117188,502.135009765625,428.545166015625,100,100,87.5,87.5,100,75,87.5,87.5
"E","SP_List2","9567626",788.5,644.50244140625,659.00244140625,703.5,670,618,640.5,645,100,100,100,100,87.5,87.5,100,100
"E","SP_List4","9588010",616.18017578125,601.800048828125,612.6650390625,580.135009765625,537.5625,500.390014648438,568.87255859375,504.650146484375,100,100,87.5,100,100,100,100,87.5
"E","SP_List4","9648548",689.49755859375,660.0048828125,615.00244140625,659.00244140625,647.9951171875,648,598,670.00244140625,100,87.5,100,100,87.5,62.5,87.5,75
"E","SP_List1","969922",592.809692382812,534.092651367188,632.554931640625,499.14013671875,468.905029296875,523.850341796875,532.04541015625,481.94482421875,100,100,100,87.5,87.5,100,87.5,87.5
"E","SP_List2","9917421",803.557495117188,714.702514648438,923.7900390625,728.232421875,783.902587890625,612.402587890625,628.880126953125,646.014892578125,100,100,87.5,100,100,100,87.5,87.5
