"Lang","List","ID","Size","Orientation","Match","RT","ACC"
"english","SP_List1","4467541","S","V","Y",274.800048828125,100
"english","SP_List1","4477833","L","H","N",867.342651367188,100
"english","SP_List1","4477833","L","H","Y",863.27001953125,87.5
"english","SP_List1","4477833","L","V","N",637.135009765625,62.5
"english","SP_List1","4477833","L","V","Y",759.432495117188,75
"english","SP_List1","4477833","S","H","N",791.417358398438,100
"english","SP_List1","4477833","S","H","Y",839.64501953125,62.5
"english","SP_List1","4477833","S","V","N",743.145141601562,100
"english","SP_List1","4477833","S","V","Y",943.280029296875,100
"English","SP_List1","4598073","L","H","N",572.885009765625,100
"English","SP_List1","4598073","L","H","Y",514.017456054688,100
"English","SP_List1","4598073","L","V","N",633.882446289062,100
"English","SP_List1","4598073","L","V","Y",658.405029296875,100
"English","SP_List1","4598073","S","H","N",537.32763671875,100
"English","SP_List1","4598073","S","H","Y",497.884887695312,100
"English","SP_List1","4598073","S","V","N",520.215087890625,100
"English","SP_List1","4598073","S","V","Y",539.48486328125,87.5
"English","SP_List1","4636165","L","H","N",728,100
"English","SP_List1","4636165","L","H","Y",663.5,100
"English","SP_List1","4636165","L","V","N",676.5,100
"English","SP_List1","4636165","L","V","Y",743,87.5
"English","SP_List1","4636165","S","H","N",701,87.5
"English","SP_List1","4636165","S","H","Y",736.5,100
"English","SP_List1","4636165","S","V","N",615,87.5
"English","SP_List1","4636165","S","V","Y",637.0048828125,100
"English","SP_List1","4641157","L","H","N",749.455078125,87.5
"English","SP_List1","4641157","L","H","Y",661.24755859375,100
"English","SP_List1","4641157","L","V","N",682.195068359375,87.5
"English","SP_List1","4641157","L","V","Y",616.612548828125,100
"English","SP_List1","4641157","S","H","N",647.135009765625,100
"English","SP_List1","4641157","S","H","Y",628.3798828125,100
"English","SP_List1","4641157","S","V","N",496.429931640625,100
"English","SP_List1","4641157","S","V","Y",632.994995117188,100
"English","SP_List1","5211472","L","H","N",616.992431640625,100
"English","SP_List1","5211472","L","H","Y",591.22998046875,75
"English","SP_List1","5211472","L","V","N",696.239990234375,100
"English","SP_List1","5211472","L","V","Y",593.425048828125,87.5
"English","SP_List1","5211472","S","H","N",632.449951171875,87.5
"English","SP_List1","5211472","S","H","Y",606.032470703125,100
"English","SP_List1","5211472","S","V","N",527.025024414062,100
"English","SP_List1","5211472","S","V","Y",511.237548828125,100
"English","SP_List1","5292241","L","H","N",622.87744140625,100
"English","SP_List1","5292241","L","H","Y",537.682373046875,100
