"Lang","List","ID","Size","Match","RT","ACC"
"English","SP_List1","8383650","S","N",661.257446289062,100
"English","SP_List1","8383650","S","Y",679.459838867188,100
"English","SP_List1","8474767","L","N",725.475463867188,100
"English","SP_List1","8474767","L","Y",710.425659179688,100
"English","SP_List1","8474767","S","N",581.169921875,93.75
"English","SP_List1","8474767","S","Y",586.8916015625,100
"english","SP_List1","8579206","L","N",833.00244140625,75
"english","SP_List1","8579206","L","Y",768,100
"english","SP_List1","8579206","S","N",706,93.75
"english","SP_List1","8579206","S","Y",682,81.25
"english","SP_List1","969922","L","N",597.800048828125,100
"english","SP_List1","969922","L","Y",527.3349609375,93.75
"english","SP_List1","969922","S","N",510.49267578125,87.5
"english","SP_List1","969922","S","Y",510.7099609375,93.75
"English","SP_List2","1538360","L","N",757.240234375,93.75
"English","SP_List2","1538360","L","Y",697.834716796875,93.75
"English","SP_List2","1538360","S","N",733.672729492188,100
"English","SP_List2","1538360","S","Y",664.125,100
"English","SP_List2","1912345","L","N",801,93.75
"English","SP_List2","1912345","L","Y",701.50244140625,87.5
"English","SP_List2","1912345","S","N",775.99755859375,87.5
"English","SP_List2","1912345","S","Y",673.5,87.5
"english","SP_List2","1992668","L","N",687.385009765625,93.75
"english","SP_List2","1992668","L","Y",573.0849609375,100
"english","SP_List2","1992668","S","N",588.840087890625,93.75
"english","SP_List2","1992668","S","Y",613.5,100
"english","SP_List2","2591558","L","N",926,93.75
"english","SP_List2","2591558","L","Y",923,93.75
"english","SP_List2","2591558","S","N",821.50244140625,100
"english","SP_List2","2591558","S","Y",810.49755859375,87.5
"English","SP_List2","2638089","L","N",759.5,93.75
"English","SP_List2","2638089","L","Y",535.394897460938,87.5
"English","SP_List2","2638089","S","N",474.477416992188,100
"English","SP_List2","2638089","S","Y",514.0849609375,87.5
"English","SP_List2","2641664","L","N",986.054931640625,81.25
"English","SP_List2","2641664","L","Y",715.494995117188,100
"English","SP_List2","2641664","S","N",735.37158203125,81.25
"English","SP_List2","2641664","S","Y",692.657836914062,100
