"Lang","Gender","Age","ID","List","Trial_Seq","Size","Orien","Match","Item_index","sentence_read_time","Target_response_time","correct","Comprehension_correct","datetime"
"english","Female","53","155821","SP_List3","68","S","H","Y","44","1062.52001953125","1027.669921875",1,NA,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","4","S","H","Y","45","2988.72998046875","1861.085205078125",1,NA,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","45","S","H","Y","46","1309.830078125","901.465087890625",1,NA,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","38","S","H","Y","47","1433.445068359375","1154.679931640625",0,NA,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","72","S","H","Y","48","990.81494140625","879.994873046875",1,NA,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","37","S","H","N","49","1672.949951171875","1207.85009765625",1,NA,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","70","S","H","N","50","963.735107421875","840.525146484375",0,NA,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","116","S","H","N","51","1526.010009765625","1008.739990234375",1,NA,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","9","S","H","N","52","1915.804931640625","986.5400390625",1,NA,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","44","S","H","N","53","982.669921875","1039.820068359375",1,NA,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","103","S","H","N","54","1057.264892578125","1101.429931640625",1,NA,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","35","S","H","N","55","1765.635009765625","957",1,NA,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","14","S","H","N","56","2072.610107421875","1021.43505859375",1,NA,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","8","S","V","Y","57","1494.30517578125","980.329833984375",0,NA,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","30","S","V","Y","58","1184.0400390625","1304.60009765625",1,NA,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","91","S","V","Y","59","972.5","1129.219970703125",1,NA,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","67","S","V","Y","60","1104.139892578125","919.875",1,NA,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","53","S","V","Y","61","1015.56005859375","807.8349609375",1,NA,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","127","S","V","Y","62","1109.530029296875","1027.81494140625",1,NA,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","11","S","V","Y","63","2013.03515625","846.965087890625",1,NA,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","89","S","V","Y","64","1704.18505859375","1157.295166015625",1,NA,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","13","F","F","F","65","2709.159912109375","941.4951171875",1,NA,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","61","F","F","F","66","1440.969970703125","1115.03515625",1,NA,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","27","F","F","F","67","1100.26513671875","948.074951171875",1,NA,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","82","F","F","F","68","1253.545166015625","948.52001953125",1,NA,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","5","F","F","F","69","3006.110107421875","1270.094970703125",1,NA,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","23","F","F","F","70","1652.81005859375","936.85498046875",1,NA,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","60","F","F","F","71","1066.64501953125","1163.130126953125",1,NA,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","10","F","F","F","72","1279.96484375","1040.14501953125",1,NA,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","17","F","F","F","73","1294.639892578125","1024.28515625",1,NA,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","102","F","F","F","74","740.760009765625","956.795166015625",1,NA,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","43","F","F","F","75","1010.14501953125","893.125",1,NA,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","84","F","F","F","76","916.630126953125","1062.64013671875",1,NA,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","32","F","F","F","77","1304.1201171875","1175.320068359375",1,NA,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","7","F","F","F","78","1401.06982421875","",0,NA,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","92","F","F","F","79","937.6650390625","1015.114990234375",1,NA,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","46","F","F","F","80","1263.889892578125","1063.614990234375",1,NA,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","100","F","F","F","81","897.64501953125","1112.590087890625",1,NA,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","16","F","F","F","82","1808.280029296875","1028.030029296875",0,NA,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","54","F","F","F","83","1663.68017578125","880.23486328125",1,NA,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","123","F","F","F","84","978.93994140625","1027.5400390625",1,NA,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","69","F","F","F","85","1048.985107421875","981.72509765625",1,NA,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","57","F","F","F","86","2044.205078125","926.26513671875",1,NA,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","119","F","F","F","87","1831.71484375","984.81005859375",1,NA,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","105","F","F","F","88","1245.755126953125","1029.85009765625",1,NA,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","85","F","F","F","89","1149.304931640625","1026.875",1,NA,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","15","F","F","F","90","1572.480224609375","1055.27490234375",1,NA,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","121","F","F","F","91","830.679931640625","805.885009765625",1,NA,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","110","F","F","F","92","1691.5498046875","892.16015625",1,NA,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","18","F","F","F","93","2277.054931640625","1421.860107421875",0,NA,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","62","F","F","F","94","2825.14013671875","1140.860107421875",0,NA,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","124","F","F","F","95","1168.05517578125","911.955078125",1,NA,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","115","F","F","F","96","3226.409912109375","1275.195068359375",1,NA,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","94","F","F","F","97","1082.23486328125","1003.81494140625",1,1,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","59","F","F","F","98","1224.06005859375","1145.81494140625",1,1,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","118","F","F","F","99","1992.199951171875","998.974853515625",1,1,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","74","F","F","F","100","1008.175048828125","1122.804931640625",1,1,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","26","F","F","F","101","2237.034912109375","1294.530029296875",1,1,"2016-12-07 14:54:50"
