"","ID","Size","Orientation","Match","RT","ACC"
"118","pilot1027015","S","V","N",445.550048828125,91.6666666666667
"119","pilot1027015","S","V","Y",531.679931640625,77.7777777777778
"120","pilot1027016","L","H","N",659.714965820312,92.3076923076923
"121","pilot1027016","L","H","Y",515.5849609375,83.3333333333333
"122","pilot1027016","L","V","N",575.467529296875,88.8888888888889
"123","pilot1027016","L","V","Y",597,91.6666666666667
"124","pilot1027016","S","H","N",462,100
"125","pilot1027016","S","H","Y",564.5,90
"126","pilot1027016","S","V","N",543.782470703125,83.3333333333333
"127","pilot1027016","S","V","Y",537.894897460938,66.6666666666667
"128","pilot1027017","L","H","N",840.710083007812,80
"129","pilot1027017","L","H","Y",552.06005859375,50
"130","pilot1027017","L","V","N",606,100
"131","pilot1027017","L","V","Y",542.79736328125,100
"132","pilot1027017","S","H","Y",582.464965820312,100
"133","pilot1027017","S","V","N",570.875122070312,100
"134","pilot1027017","S","V","Y",476.179931640625,87.5
"135","pilot1027018","L","H","N",662.629760742188,92.3076923076923
"136","pilot1027018","L","H","Y",532.090087890625,100
"137","pilot1027018","L","V","N",600.224853515625,77.7777777777778
"138","pilot1027018","L","V","Y",631.5,90.9090909090909
"139","pilot1027018","S","H","Y",571.947509765625,100
"140","pilot1027018","S","V","N",561.822509765625,83.3333333333333
"141","pilot1027018","S","V","Y",510.9951171875,87.5
"142","pilot1027019","L","H","N",696.50244140625,100
"143","pilot1027019","L","H","Y",770,100
"144","pilot1027019","L","V","N",628,77.7777777777778
"145","pilot1027019","L","V","Y",544.150024414062,100
"146","pilot1027019","S","H","N",528.942504882812,100
"147","pilot1027019","S","H","Y",599.275024414062,100
"148","pilot1027019","S","V","N",580.58251953125,90.9090909090909
"149","pilot1027019","S","V","Y",479.867553710938,85.7142857142857
"150","pilot1027020","L","H","N",642,91.6666666666667
"151","pilot1027020","L","H","Y",625.387451171875,100
"152","pilot1027020","L","V","N",786.949951171875,77.7777777777778
"153","pilot1027020","L","V","Y",633.364990234375,100
"154","pilot1027020","S","H","N",653.9951171875,100
"155","pilot1027020","S","H","Y",568.812377929688,83.3333333333333
"156","pilot1027020","S","V","N",534.52001953125,100
"157","pilot1027020","S","V","Y",610.30517578125,100
"158","pilot1027021","L","H","N",656,100
"159","pilot1027021","L","H","Y",785.362548828125,100
"160","pilot1027021","L","V","N",615.320068359375,100
"161","pilot1027021","L","V","Y",558.714965820312,100
"162","pilot1027021","S","H","N",570,75
"163","pilot1027021","S","H","Y",629.072509765625,100
"164","pilot1027021","S","V","N",548.794921875,90
"165","pilot1027021","S","V","Y",501.934936523438,100
"166","pilot1027022","L","H","N",722.769775390625,100
"167","pilot1027022","L","H","Y",562.914794921875,100
"168","pilot1027022","L","V","N",655.9951171875,100
"169","pilot1027022","L","V","Y",511.21240234375,90.9090909090909
"170","pilot1027022","S","H","N",559.957641601562,66.6666666666667
"171","pilot1027022","S","H","Y",558.47509765625,91.6666666666667
"172","pilot1027022","S","V","N",510.87255859375,72.7272727272727
"173","pilot1027022","S","V","Y",480,83.3333333333333
"174","pilot1027023","L","H","N",1236.67993164062,33.3333333333333
"175","pilot1027023","L","H","Y",558.994873046875,75
"176","pilot1027023","L","V","N",651,88.8888888888889
"177","pilot1027023","L","V","Y",700.905029296875,87.5
"178","pilot1027023","S","H","N",510.044921875,80
"179","pilot1027023","S","H","Y",572.597412109375,100
"180","pilot1027023","S","V","N",433.0498046875,90
"181","pilot1027023","S","V","Y",492,100
"182","pilot1027024","L","H","N",563.465087890625,100
"183","pilot1027024","L","H","Y",653.294921875,100
"184","pilot1027024","L","V","N",542.172485351562,80
"185","pilot1027024","L","V","Y",607.947509765625,90.9090909090909
"186","pilot1027024","S","H","N",589.844848632812,80
"187","pilot1027024","S","H","Y",593.0400390625,100
"188","pilot1027024","S","V","N",603,90
"189","pilot1027024","S","V","Y",614.297485351562,80
"190","pilot1027025","L","H","N",771,100
"191","pilot1027025","L","H","Y",603.107543945312,80
"192","pilot1027025","L","V","N",598.337524414062,88.8888888888889
"193","pilot1027025","L","V","Y",522.7451171875,100
"194","pilot1027025","S","H","N",598.47509765625,100
"195","pilot1027025","S","H","Y",561.142578125,83.3333333333333
"196","pilot1027025","S","V","N",544.6201171875,77.7777777777778
"197","pilot1027025","S","V","Y",553.175048828125,75
"198","pilot1027026","L","H","N",659.0048828125,90
"199","pilot1027026","L","H","Y",658.29248046875,88.8888888888889
"200","pilot1027026","L","V","N",531.6201171875,90
"201","pilot1027026","L","V","Y",603.409912109375,81.8181818181818
"202","pilot1027026","S","H","N",522,100
"203","pilot1027026","S","H","Y",580.60986328125,91.6666666666667
"204","pilot1027026","S","V","N",509.49755859375,66.6666666666667
"205","pilot1027026","S","V","Y",691.5224609375,100
"206","pilot1027027","L","H","N",908.00244140625,66.6666666666667
"207","pilot1027027","L","H","Y",935.194946289062,80
"208","pilot1027027","L","V","N",600.785034179688,88.8888888888889
"209","pilot1027027","L","V","Y",728.14501953125,85.7142857142857
"210","pilot1027027","S","H","N",607.944946289062,88.8888888888889
"211","pilot1027027","S","H","Y",614.090087890625,91.6666666666667
"212","pilot1027027","S","V","N",482.734985351562,85.7142857142857
"213","pilot1027027","S","V","Y",611.535034179688,100
"214","pilot1027028","L","H","N",625.884887695312,88.8888888888889
"215","pilot1027028","L","H","Y",719.605102539062,100
"216","pilot1027028","L","V","N",649.369873046875,90
"217","pilot1027028","L","V","Y",659.159912109375,100
"218","pilot1027028","S","H","N",577.9951171875,100
"219","pilot1027028","S","H","Y",530.525146484375,91.6666666666667
"220","pilot1027028","S","V","N",415.0048828125,62.5
"221","pilot1027028","S","V","Y",712.675048828125,100
"222","pilot1027029","L","H","N",623,100
"223","pilot1027029","L","H","Y",589.0048828125,100
"224","pilot1027029","L","V","N",698.977416992188,88.8888888888889
"225","pilot1027029","L","V","Y",672.704833984375,100
"226","pilot1027029","S","H","N",587.890014648438,100
"227","pilot1027029","S","H","Y",694.544921875,83.3333333333333
"228","pilot1027029","S","V","N",509.06494140625,100
"229","pilot1027029","S","V","Y",473.29248046875,66.6666666666667
"230","pilot1027030","L","H","N",604.150146484375,100
"231","pilot1027030","L","H","Y",548.832397460938,100
"232","pilot1027030","L","V","N",525.152465820312,80
"233","pilot1027030","L","V","Y",727.127075195312,90.9090909090909
"234","pilot1027030","S","H","N",599.639892578125,100
"235","pilot1027030","S","H","Y",579.02490234375,91.6666666666667
"236","pilot1027030","S","V","N",495.505004882812,85.7142857142857
"237","pilot1027030","S","V","Y",594.0400390625,100
"238","pilot1027031","L","H","N",606.907592773438,100
"239","pilot1027031","L","H","Y",607.35009765625,100
"240","pilot1027031","L","V","N",630.875,77.7777777777778
"241","pilot1027031","L","V","Y",719.109985351562,100
"242","pilot1027031","S","H","N",638.8349609375,100
"243","pilot1027031","S","H","Y",575,83.3333333333333
"244","pilot1027031","S","V","N",503.364990234375,100
"245","pilot1027031","S","V","Y",519.304931640625,100
"246","pilot1027032","L","H","N",596.484985351562,88.8888888888889
"247","pilot1027032","L","H","Y",653.857543945312,100
"248","pilot1027032","L","V","N",544.4599609375,80
"249","pilot1027032","L","V","Y",593,100
"250","pilot1027032","S","H","N",638.4150390625,100
"251","pilot1027032","S","H","Y",652,91.6666666666667
"252","pilot1027032","S","V","N",421.25,83.3333333333333
"253","pilot1027032","S","V","Y",553.429931640625,100
"254","pilot1027033","L","H","N",665.655029296875,100
"255","pilot1027033","L","H","Y",567.0048828125,100
"256","pilot1027033","L","V","N",665.470092773438,88.8888888888889
"257","pilot1027033","L","V","Y",600.900024414062,100
"258","pilot1027033","S","H","N",532.7099609375,91.6666666666667
"259","pilot1027033","S","H","Y",542.239990234375,91.6666666666667
"260","pilot1027033","S","V","N",426.760009765625,100
"261","pilot1027033","S","V","Y",558.25,100
"262","pilot1027034","L","H","N",579.6201171875,77.7777777777778
"263","pilot1027034","L","H","Y",649.050048828125,100
"264","pilot1027034","L","V","N",632.329956054688,72.7272727272727
"265","pilot1027034","L","V","Y",553.4150390625,81.8181818181818
"266","pilot1027034","S","H","N",707.64501953125,100
"267","pilot1027034","S","H","Y",518.407470703125,83.3333333333333
"268","pilot1027034","S","V","N",494.364990234375,100
"269","pilot1027034","S","V","Y",540.765014648438,100
"270","pilot1027035","L","H","N",521.394897460938,66.6666666666667
"271","pilot1027035","L","H","Y",651.039794921875,100
"272","pilot1027035","L","V","N",620.990234375,90
"273","pilot1027035","L","V","Y",521.054931640625,100
"274","pilot1027035","S","H","N",548.48486328125,100
"275","pilot1027035","S","H","Y",528.24755859375,83.3333333333333
"276","pilot1027035","S","V","N",503.037475585938,100
"277","pilot1027035","S","V","Y",709,75
"278","pilot1027036","L","H","N",556.525024414062,100
"279","pilot1027036","L","H","Y",615,100
"280","pilot1027036","L","V","N",622.112915039062,90.9090909090909
"281","pilot1027036","L","V","Y",614.949951171875,91.6666666666667
"282","pilot1027036","S","H","N",593.709838867188,100
"283","pilot1027036","S","H","Y",597.235107421875,91.6666666666667
"284","pilot1027036","S","V","N",584.485107421875,100
"285","pilot1027036","S","V","Y",420.429931640625,75
"286","pilot1027037","L","H","N",774.597534179688,100
"287","pilot1027037","L","H","Y",576.199951171875,100
"288","pilot1027037","L","V","N",718.0625,90.9090909090909
"289","pilot1027037","L","V","Y",690.307495117188,100
"290","pilot1027037","S","H","N",549.7548828125,91.6666666666667
"291","pilot1027037","S","H","Y",598.259887695312,90.9090909090909
"292","pilot1027037","S","V","N",461.200073242188,100
"293","pilot1027037","S","V","Y",518.614990234375,100
"294","pilot1027038","L","H","N",608.8525390625,85.7142857142857
"295","pilot1027038","L","H","Y",575.43505859375,100
"296","pilot1027038","L","V","N",691.125,91.6666666666667
"297","pilot1027038","L","V","Y",539.4951171875,83.3333333333333
"298","pilot1027038","S","H","N",692.887451171875,83.3333333333333
"299","pilot1027038","S","H","Y",508.484985351562,90.9090909090909
"300","pilot1027038","S","V","N",598.497436523438,100
"301","pilot1027038","S","V","Y",582.00244140625,80
"302","pilot1027039","L","H","N",658.5,100
"303","pilot1027039","L","H","Y",575.64990234375,100
"304","pilot1027039","L","V","N",688.5849609375,100
"305","pilot1027039","L","V","Y",529.1650390625,100
"306","pilot1027039","S","H","N",635.780029296875,100
"307","pilot1027039","S","H","Y",537.0048828125,90
"308","pilot1027039","S","V","N",555.705078125,100
"309","pilot1027039","S","V","Y",700.597412109375,100
"310","pilot1027040","L","H","N",693.81494140625,100
"311","pilot1027040","L","H","Y",644.50244140625,90.9090909090909
"312","pilot1027040","L","V","N",628.962524414062,83.3333333333333
"313","pilot1027040","L","V","Y",543.732421875,90.9090909090909
"314","pilot1027040","S","H","N",628.837524414062,83.3333333333333
"315","pilot1027040","S","H","Y",550.60009765625,81.8181818181818
"316","pilot1027040","S","V","N",584.6201171875,100
"317","pilot1027040","S","V","Y",796.0048828125,83.3333333333333
"318","pilot1027041","L","H","N",614.567504882812,100
"319","pilot1027041","L","H","Y",573.755004882812,85.7142857142857
"320","pilot1027041","L","V","N",646.4501953125,81.8181818181818
"321","pilot1027041","L","V","Y",586.357421875,100
"322","pilot1027041","S","H","N",569.662475585938,83.3333333333333
"323","pilot1027041","S","H","Y",525.89501953125,100
"324","pilot1027041","S","V","N",483.362426757812,66.6666666666667
"325","pilot1027041","S","V","Y",668.73486328125,100
"326","pilot1027042","L","H","N",678.628662109375,85.7142857142857
"327","pilot1027042","L","H","Y",519.227416992188,100
"328","pilot1027042","L","V","N",621.639892578125,91.6666666666667
"329","pilot1027042","L","V","Y",530.10498046875,81.8181818181818
"330","pilot1027042","S","H","N",657.9951171875,91.6666666666667
"331","pilot1027042","S","H","Y",544.50244140625,80
"332","pilot1027042","S","V","N",439.85498046875,100
"333","pilot1027042","S","V","Y",499.625,100
"334","pilot1027043","L","H","N",657.949951171875,100
"335","pilot1027043","L","H","Y",734.242553710938,85.7142857142857
"336","pilot1027043","L","V","N",641.829956054688,90.9090909090909
"337","pilot1027043","L","V","Y",719.910034179688,100
"338","pilot1027043","S","H","N",572.529907226562,100
"339","pilot1027043","S","H","Y",604.392456054688,88.8888888888889
"340","pilot1027043","S","V","N",554.05517578125,100
"341","pilot1027043","S","V","Y",563.792602539062,75
"342","pilot1027044","L","H","N",565.517456054688,85.7142857142857
"343","pilot1027044","L","H","Y",641.00244140625,90.9090909090909
"344","pilot1027044","L","V","N",641.067626953125,100
"345","pilot1027044","L","V","Y",576.8525390625,80
"346","pilot1027044","S","H","N",615.294921875,66.6666666666667
"347","pilot1027044","S","H","Y",553.0048828125,100
"348","pilot1027044","S","V","N",492.0048828125,100
"349","pilot1027044","S","V","Y",585.150024414062,100
"350","pilot1027045","L","H","N",515.369995117188,100
"351","pilot1027045","L","H","Y",752.51513671875,87.5
"352","pilot1027045","L","V","N",588.6298828125,90.9090909090909
"353","pilot1027045","L","V","Y",507.037353515625,66.6666666666667
"354","pilot1027045","S","H","N",536.0849609375,91.6666666666667
"355","pilot1027045","S","H","Y",585.68017578125,100
"356","pilot1027045","S","V","N",465.0048828125,60
"357","pilot1027045","S","V","Y",570.074951171875,87.5
"358","pilot1027046","L","H","N",521.08740234375,100
"359","pilot1027046","L","H","Y",631,100
"360","pilot1027046","L","V","N",585.630126953125,91.6666666666667
"361","pilot1027046","L","V","Y",609.010009765625,88.8888888888889
"362","pilot1027046","S","H","N",734.197387695312,83.3333333333333
"363","pilot1027046","S","H","Y",562.0625,100
"364","pilot1027046","S","V","N",553.037475585938,100
"365","pilot1027046","S","V","Y",629.382446289062,100
"366","pilot1027047","L","H","N",627.367553710938,100
"367","pilot1027047","L","H","Y",677.294921875,88.8888888888889
"368","pilot1027047","L","V","N",570.030029296875,81.8181818181818
"369","pilot1027047","L","V","Y",525.875,50
"370","pilot1027047","S","H","N",527.5048828125,100
"371","pilot1027047","S","H","Y",539.4599609375,100
"372","pilot1027047","S","V","N",776.569946289062,80
"373","pilot1027047","S","V","Y",713.97998046875,100
"374","pilot1027048","L","H","N",576.217529296875,100
"375","pilot1027048","L","H","Y",591.409912109375,91.6666666666667
"376","pilot1027048","L","V","N",646,91.6666666666667
"377","pilot1027048","L","V","Y",575.452514648438,100
"378","pilot1027048","S","H","N",655.8349609375,100
"379","pilot1027048","S","H","Y",640.775146484375,100
"380","pilot1027048","S","V","N",592.030029296875,100
"381","pilot1027048","S","V","Y",551.337524414062,100
"382","pilot1027049","L","H","N",662.159912109375,100
"383","pilot1027049","L","H","Y",573.319946289062,88.8888888888889
"384","pilot1027049","L","V","N",595.147583007812,88.8888888888889
"385","pilot1027049","L","V","Y",619.094970703125,100
"386","pilot1027049","S","H","N",526.275146484375,91.6666666666667
"387","pilot1027049","S","H","Y",723.555053710938,100
"388","pilot1027049","S","V","N",660.222534179688,100
"389","pilot1027049","S","V","Y",619.812622070312,100
"390","pilot1027050","L","H","N",598.742919921875,88.8888888888889
"391","pilot1027050","L","H","Y",660.429931640625,100
"392","pilot1027050","L","V","N",477.784912109375,81.8181818181818
"393","pilot1027050","L","V","Y",585.842407226562,100
"394","pilot1027050","S","H","N",511.275024414062,100
"395","pilot1027050","S","H","Y",685.6025390625,100
"396","pilot1027050","S","V","N",616.169921875,100
"397","pilot1027050","S","V","Y",627.945068359375,75
"398","pilot1027051","L","H","N",800.8125,100
"399","pilot1027051","L","H","Y",612.949951171875,88.8888888888889
"400","pilot1027051","L","V","N",579.784912109375,87.5
"401","pilot1027051","L","V","Y",497.0048828125,100
"402","pilot1027051","S","H","N",534.3525390625,100
"403","pilot1027051","S","H","Y",576,100
"404","pilot1027051","S","V","N",634,100
"405","pilot1027051","S","V","Y",616.727416992188,100
"406","pilot1027052","L","H","N",548.409912109375,90
"407","pilot1027052","L","H","Y",634.702514648438,92.3076923076923
"408","pilot1027052","L","V","N",546.330078125,90
"409","pilot1027052","L","V","Y",619.857421875,85.7142857142857
"410","pilot1027052","S","H","N",567.612426757812,100
"411","pilot1027052","S","H","Y",576.97998046875,100
"412","pilot1027052","S","V","N",630,100
"413","pilot1027052","S","V","Y",640,100
"414","pilot1027053","L","H","N",786.487426757812,100
"415","pilot1027053","L","H","Y",573.525146484375,100
"416","pilot1027053","L","V","N",573.324951171875,100
"417","pilot1027053","L","V","Y",422.282592773438,100
"418","pilot1027053","S","H","N",642.405029296875,91.6666666666667
"419","pilot1027053","S","H","Y",664.00244140625,50
"420","pilot1027053","S","V","N",686.4375,100
"421","pilot1027053","S","V","Y",488.800048828125,100
"422","pilot1027054","L","H","N",580.46484375,100
"423","pilot1027054","L","H","Y",512.1298828125,91.6666666666667
"424","pilot1027054","L","V","N",529.219970703125,70
"425","pilot1027054","L","V","Y",600.4150390625,100
"426","pilot1027054","S","H","N",629.492553710938,100
"427","pilot1027054","S","H","Y",605.619873046875,100
"428","pilot1027054","S","V","N",565,87.5
"429","pilot1027054","S","V","Y",633.5048828125,100
"430","pilot1027055","L","H","N",568.599975585938,85.7142857142857
"431","pilot1027055","L","H","Y",561.460083007812,88.8888888888889
"432","pilot1027055","L","V","N",495.0048828125,71.4285714285714
"433","pilot1027055","L","V","Y",655.47998046875,100
"434","pilot1027055","S","H","N",615.898681640625,90.9090909090909
"435","pilot1027055","S","H","Y",683.83251953125,80
"436","pilot1027055","S","V","N",624.5,100
"437","pilot1027055","S","V","Y",550.5,100
"438","pilot1027056","L","H","N",582.552490234375,76.9230769230769
"439","pilot1027056","L","H","Y",676.489990234375,91.6666666666667
"440","pilot1027056","L","V","N",527.8701171875,77.7777777777778
"441","pilot1027056","L","V","Y",550.387573242188,100
"442","pilot1027056","S","H","N",566.902465820312,90.9090909090909
"443","pilot1027056","S","H","Y",632.1650390625,100
"444","pilot1027056","S","V","N",580.037475585938,100
"445","pilot1027056","S","V","Y",606.000122070312,100
"446","pilot1027057","L","H","N",529.174926757812,100
"447","pilot1027057","L","H","Y",613.89990234375,87.5
"448","pilot1027057","L","V","N",520.574951171875,60
"449","pilot1027057","L","V","Y",461.427490234375,66.6666666666667
"450","pilot1027057","S","H","N",765.805053710938,100
"451","pilot1027057","S","H","Y",515.12744140625,100
"452","pilot1027057","S","V","N",620.542602539062,100
"453","pilot1027057","S","V","Y",526.819946289062,100
"454","pilot1027058","L","H","N",515.070068359375,86.6666666666667
"455","pilot1027058","L","H","Y",564.00244140625,100
"456","pilot1027058","L","V","N",851.0048828125,42.8571428571429
"457","pilot1027058","L","V","Y",624.530029296875,100
"458","pilot1027058","S","H","N",584.969970703125,81.8181818181818
"459","pilot1027058","S","H","Y",640,100
"460","pilot1027058","S","V","N",528.0048828125,87.5
"461","pilot1027058","S","V","Y",603,87.5
"462","pilot1027059","L","H","N",554.85498046875,87.5
"463","pilot1027059","L","H","Y",603.4599609375,87.5
"464","pilot1027059","L","V","N",721.419921875,75
"465","pilot1027059","L","V","Y",511.927490234375,100
"466","pilot1027059","S","H","N",695.612426757812,100
"467","pilot1027059","S","H","Y",471.35498046875,100
"468","pilot1027059","S","V","N",618.430053710938,100
"469","pilot1027059","S","V","Y",553.85986328125,100
"470","pilot1027060","L","H","N",637.414794921875,92.8571428571429
"471","pilot1027060","L","H","Y",591.735107421875,69.2307692307692
"472","pilot1027060","L","V","N",519.6923828125,66.6666666666667
"473","pilot1027060","L","V","Y",653.73486328125,71.4285714285714
"474","pilot1027060","S","H","N",593.367553710938,80
"475","pilot1027060","S","H","Y",609.9951171875,100
"476","pilot1027060","S","V","N",590.165161132812,75
"477","pilot1027060","S","V","Y",587,100
"478","pilot1027061","L","H","N",626.294921875,100
"479","pilot1027061","L","H","Y",632.199951171875,87.5
"480","pilot1027061","L","V","N",596,75
"481","pilot1027061","L","V","Y",797.897583007812,100
"482","pilot1027061","S","H","N",660.940185546875,100
"483","pilot1027061","S","H","Y",425.474853515625,100
"484","pilot1027061","S","V","N",648.0048828125,87.5
"485","pilot1027061","S","V","Y",632.097412109375,100
"486","pilot1027062","L","H","N",585.73828125,100
"487","pilot1027062","L","H","Y",581.052612304688,92.3076923076923
"488","pilot1027062","L","V","N",597.77001953125,100
"489","pilot1027062","L","V","Y",612.199951171875,100
"490","pilot1027062","S","H","N",645.27001953125,100
"491","pilot1027062","S","H","Y",559.764892578125,100
"492","pilot1027062","S","V","N",494.9599609375,87.5
