"","List","ID","LN_RT","LY_RT","SN_RT","SY_RT","LN_ACC","LY_ACC","SN_ACC","SY_ACC"
"70","List3","pilot1027070",627.864990234375,770.085083007812,576.155029296875,598.97998046875,100,93.3333333333333,93.75,93.75
"71","List3","pilot1027071",551.552490234375,547.601318359375,547.741455078125,609.91748046875,100,87.5,100,93.3333333333333
"72","List3","pilot1027072",668.275146484375,610.909912109375,574.570068359375,599,100,60,100,100
"73","List3","pilot1027073",588.85498046875,600.716064453125,507.232543945312,654.699951171875,83.3333333333333,85.7142857142857,93.3333333333333,94.1176470588235
"74","List3","pilot1027074",758.08251953125,620.280029296875,536.47021484375,577.130126953125,70.5882352941177,100,92.8571428571429,94.4444444444444
"75","List3","pilot1027075",683.702514648438,620.579833984375,596.949951171875,499.02001953125,93.3333333333333,100,100,100
"76","List4","pilot1027076",576.85498046875,689.170166015625,577.99755859375,542.33984375,92.8571428571429,83.3333333333333,100,100
"77","List4","pilot1027077",645.0849609375,584.1875,583.875,575.330078125,78.5714285714286,77.7777777777778,93.75,93.75
"78","List4","pilot1027078",676.955444335938,535.072509765625,549.065063476562,603.3525390625,93.3333333333333,94.1176470588235,100,87.5
"79","List4","pilot1027079",639,576.737548828125,653.05126953125,626.202514648438,94.4444444444444,100,87.5,100
"80","List4","pilot1027080",637.969970703125,584.402465820312,513.494995117188,568.300048828125,88.8888888888889,100,100,92.8571428571429
"81","List4","pilot1027081",615.877563476562,644.69482421875,550.014892578125,561.1474609375,94.1176470588235,100,94.4444444444444,100
"82","List4","pilot1027082",600.692626953125,681.860107421875,527.753662109375,641,82.3529411764706,86.6666666666667,93.75,93.75
"83","List4","pilot1027083",702.965087890625,681.449951171875,580.56005859375,609.4599609375,86.6666666666667,100,100,93.75
"84","List4","pilot1027084",580.29248046875,652.8203125,597.530029296875,494.724975585938,93.3333333333333,88.2352941176471,86.6666666666667,94.1176470588235
"85","List4","pilot1027085",621.699951171875,655.14599609375,545.717529296875,505.572509765625,100,94.1176470588235,93.3333333333333,94.1176470588235
"86","List4","pilot1027086",614.536376953125,641.56494140625,586.22509765625,602.880004882812,80,88.2352941176471,93.75,87.5
"87","List4","pilot1027087",596.0048828125,671,576.0048828125,549.904418945312,92.8571428571429,94.4444444444444,93.75,87.5
"88","List4","pilot1027088",654.364990234375,635.160766601562,550.892456054688,594.71240234375,93.75,87.5,100,87.5
"89","List4","pilot1027089",649.167358398438,746,620,549.900146484375,88.8888888888889,92.8571428571429,75,93.75
"90","List4","pilot1027090",582.974853515625,621.9951171875,558.579956054688,640.532592773438,81.25,93.75,87.5,100
"91","List4","pilot1027091",702.46240234375,547.2548828125,523.255126953125,608.6650390625,82.3529411764706,93.3333333333333,93.75,93.75
"92","List4","pilot1027092",547,620.72998046875,666.949951171875,625.604370117188,88.2352941176471,93.3333333333333,100,100
"93","List4","pilot1027093",793.757568359375,603.444946289062,588.20751953125,554.844970703125,94.1176470588235,93.3333333333333,100,92.8571428571429
"94","List4","pilot1027094",637.669921875,613.114990234375,610.017578125,606.0048828125,93.75,81.25,94.1176470588235,100
"95","List4","pilot1027095",630.210083007812,702.69482421875,592.980224609375,611.0048828125,85.7142857142857,94.4444444444444,92.8571428571429,94.4444444444444
"96","List4","pilot1027096",606.699951171875,605,524.490112304688,582.135009765625,86.6666666666667,88.2352941176471,93.3333333333333,100
"97","List4","pilot1027097",648,625.400146484375,508.784912109375,544.030029296875,86.6666666666667,100,93.75,93.75
"98","List4","pilot1027098",657.387573242188,659.16259765625,583.68505859375,474.9951171875,100,93.75,81.25,93.75
"99","List4","pilot1027099",638.672485351562,656.892456054688,544.9951171875,558.904907226562,87.5,100,93.75,100
"100","List4","pilot1027100",709.99755859375,640,562.0751953125,653,87.5,93.75,93.75,93.75
