"","List","ID","Size","Orientation","Match","RT"
"123","List1","pilot1027016","L","V","Y",597
"124","List1","pilot1027016","S","H","N",462
"125","List1","pilot1027016","S","H","Y",564.5
"126","List1","pilot1027016","S","V","N",543.782470703125
"127","List1","pilot1027016","S","V","Y",537.894897460938
"128","List1","pilot1027017","L","H","N",840.710083007812
"129","List1","pilot1027017","L","H","Y",552.06005859375
"130","List1","pilot1027017","L","V","N",606
"131","List1","pilot1027017","L","V","Y",542.79736328125
"132","List1","pilot1027017","S","H","Y",582.464965820312
"133","List1","pilot1027017","S","V","N",570.875122070312
"134","List1","pilot1027017","S","V","Y",476.179931640625
"135","List1","pilot1027018","L","H","N",662.629760742188
"136","List1","pilot1027018","L","H","Y",532.090087890625
"137","List1","pilot1027018","L","V","N",600.224853515625
"138","List1","pilot1027018","L","V","Y",631.5
"139","List1","pilot1027018","S","H","Y",571.947509765625
"140","List1","pilot1027018","S","V","N",561.822509765625
"141","List1","pilot1027018","S","V","Y",510.9951171875
"142","List1","pilot1027019","L","H","N",696.50244140625
"143","List1","pilot1027019","L","H","Y",770
"144","List1","pilot1027019","L","V","N",628
"145","List1","pilot1027019","L","V","Y",544.150024414062
"146","List1","pilot1027019","S","H","N",528.942504882812
"147","List1","pilot1027019","S","H","Y",599.275024414062
"148","List1","pilot1027019","S","V","N",580.58251953125
"149","List1","pilot1027019","S","V","Y",479.867553710938
"150","List1","pilot1027020","L","H","N",642
"151","List1","pilot1027020","L","H","Y",625.387451171875
"152","List1","pilot1027020","L","V","N",786.949951171875
"153","List1","pilot1027020","L","V","Y",633.364990234375
"154","List1","pilot1027020","S","H","N",653.9951171875
"155","List1","pilot1027020","S","H","Y",568.812377929688
"156","List1","pilot1027020","S","V","N",534.52001953125
"157","List1","pilot1027020","S","V","Y",610.30517578125
"158","List1","pilot1027021","L","H","N",656
"159","List1","pilot1027021","L","H","Y",785.362548828125
"160","List1","pilot1027021","L","V","N",615.320068359375
"161","List1","pilot1027021","L","V","Y",558.714965820312
"162","List1","pilot1027021","S","H","N",570
"163","List1","pilot1027021","S","H","Y",629.072509765625
"164","List1","pilot1027021","S","V","N",548.794921875
"165","List1","pilot1027021","S","V","Y",501.934936523438
"166","List1","pilot1027022","L","H","N",722.769775390625
"167","List1","pilot1027022","L","H","Y",562.914794921875
"168","List1","pilot1027022","L","V","N",655.9951171875
"169","List1","pilot1027022","L","V","Y",511.21240234375
"170","List1","pilot1027022","S","H","N",559.957641601562
"171","List1","pilot1027022","S","H","Y",558.47509765625
"172","List1","pilot1027022","S","V","N",510.87255859375
"173","List1","pilot1027022","S","V","Y",480
"174","List1","pilot1027023","L","H","N",1236.67993164062
"175","List1","pilot1027023","L","H","Y",558.994873046875
"176","List1","pilot1027023","L","V","N",651
"177","List1","pilot1027023","L","V","Y",700.905029296875
"178","List1","pilot1027023","S","H","N",510.044921875
"179","List1","pilot1027023","S","H","Y",572.597412109375
"180","List1","pilot1027023","S","V","N",433.0498046875
"181","List1","pilot1027023","S","V","Y",492
